order_id,customer_id,product_id,store_id,employee_id,order_date,quantity,unit_price,discount_pct,payment_method,order_status
39,577,249,4,26,2025-11-12,5,471.0,0.2,Credit Card,Completed
40,915,79,8,39,2025-04-12,5,143.89,0.1,PayPal,Shipped
41,198,83,12,17,2025-11-18,1,347.94,0.15,Credit Card,Completed
42,865,210,4,34,2023-02-12,6,77.07,0.15,Credit Card,Completed
43,713,101,1,22,2023-11-27,2,314.94,0.1,Debit Card,Returned
44,8,165,14,8,2023-04-06,3,216.64,0.2,Cash,Completed
45,1842,121,4,35,2023-01-04,3,13.34,0.1,Gift Card,Completed
46,1352,290,14,8,2023-05-08,1,30.66,0.05,PayPal,Returned
47,336,235,12,11,2025-06-12,2,265.0,0.2,Debit Card,Completed
48,1807,257,14,8,2025-02-28,6,29.22,0.2,Debit Card,Completed
49,835,43,14,47,2025-11-01,1,121.68,0.15,Debit Card,Returned
50,215,127,7,40,2025-06-07,5,90.5,0.0,Credit Card,Completed
51,318,259,2,28,2023-11-18,2,395.59,0.15,Credit Card,Completed
52,1740,261,11,33,2024-04-03,3,638.9,0.0,PayPal,Pending
53,1083,245,12,10,2024-10-28,6,328.64,0.2,Gift Card,Completed
54,1010,198,15,18,2023-07-14,6,125.5,0.0,Cash,Returned
55,13,276,14,8,2025-12-06,6,394.14,0.2,Debit Card,Shipped
56,1273,66,13,13,2025-08-14,5,330.95,0.05,Credit Card,Returned
57,1423,57,8,39,2024-12-22,4,207.9,0.1,PayPal,Completed
58,717,255,12,11,2023-12-31,1,118.85,0.15,Gift Card,Completed
59,1426,205,7,40,2025-12-28,2,370.78,0.1,PayPal,Cancelled
60,284,166,14,8,2025-07-06,2,172.27,0.0,Cash,Completed
61,1234,140,6,9,2025-06-10,6,257.08,0.15,Gift Card,Completed
62,1816,70,12,11,2023-02-16,4,42.41,0.0,Debit Card,Pending
63,844,217,13,49,2024-09-15,1,80.74,0.2,PayPal,Pending
64,993,12,10,29,2023-01-08,5,582.22,0.2,Cash,Pending
65,1020,131,11,33,2024-12-21,5,582.03,0.0,Cash,Returned
66,1644,259,2,28,2024-09-11,1,395.59,0.05,Debit Card,Pending
67,1063,176,5,23,2024-02-27,4,171.51,0.15,Gift Card,Completed
68,1094,15,5,48,2024-06-27,3,454.62,0.0,PayPal,Completed
69,1311,264,3,43,2025-03-18,1,25.86,0.0,Credit Card,Completed
70,336,205,14,8,2023-10-13,4,370.78,0.0,Gift Card,Returned
71,1233,32,5,48,2023-02-07,5,162.12,0.0,PayPal,Shipped
72,735,267,14,47,2023-08-02,2,139.61,0.0,Credit Card,Completed
73,625,277,6,14,2024-04-30,5,320.72,0.1,Cash,Pending
74,1134,178,14,8,2025-05-01,2,41.87,0.0,Gift Card,Completed
75,1875,7,13,42,2023-04-07,1,279.59,0.0,Cash,Completed
76,1557,207,12,11,2023-07-28,5,245.28,0.2,Debit Card,Cancelled
77,794,150,1,41,2023-07-18,5,157.31,0.0,Gift Card,Completed
78,885,230,9,38,2023-04-17,5,49.56,0.2,Credit Card,Pending
79,1088,242,11,7,2023-11-28,6,378.8,0.2,Credit Card,Completed
80,876,191,2,28,2023-09-09,1,519.67,0.0,Cash,Shipped
81,270,23,5,23,2025-03-16,4,298.77,0.0,Gift Card,Cancelled
82,1677,192,9,38,2023-12-04,1,29.92,0.05,Debit Card,Completed
83,1865,177,2,37,2025-06-12,4,467.22,0.0,Gift Card,Cancelled
84,378,93,13,30,2023-09-13,5,380.69,0.0,Debit Card,Cancelled
85,1327,151,4,35,2025-06-19,1,61.55,0.0,Cash,Pending
86,622,278,8,24,2024-08-13,6,98.31,0.2,Cash,Cancelled
87,1231,224,10,6,2024-10-30,2,190.7,0.0,PayPal,Completed
88,13,251,4,34,2023-06-17,2,355.21,0.0,Cash,Cancelled
89,341,29,4,26,2023-01-07,6,197.73,0.0,Debit Card,Returned
90,1939,47,11,7,2023-05-20,6,126.89,0.2,Debit Card,Pending
91,1311,74,15,44,2025-08-06,4,292.63,0.0,Cash,Returned
92,1265,178,9,25,2024-10-19,6,41.87,0.15,PayPal,Cancelled
93,371,300,6,9,2024-09-17,2,306.79,0.15,Debit Card,Cancelled
94,208,208,12,11,2023-08-25,5,146.45,0.0,Cash,Pending
95,919,35,10,4,2023-04-23,3,53.95,0.0,Cash,Completed
96,190,133,5,48,2025-07-06,4,321.54,0.0,Gift Card,Shipped
97,1308,110,4,34,2024-12-31,3,570.1,0.05,Credit Card,Shipped
98,244,183,14,47,2024-09-06,6,70.12,0.2,Debit Card,Pending
99,1736,105,5,23,2023-03-17,3,500.45,0.0,PayPal,Pending
100,456,100,9,25,2023-09-13,5,447.11,0.0,Credit Card,Returned
101,1410,103,14,8,2024-05-05,6,220.08,0.1,Gift Card,Completed
102,1051,243,15,5,2025-11-02,2,523.63,0.2,Cash,Completed
103,983,279,13,30,2025-08-31,2,281.48,0.0,PayPal,Shipped
104,648,33,7,2,2024-10-03,2,422.83,0.0,Cash,Pending
105,1704,109,7,40,2024-11-01,4,33.31,0.2,Credit Card,Completed
106,730,218,9,25,2025-09-06,2,95.1,0.0,Gift Card,Shipped
107,1506,246,8,19,2025-06-25,6,594.34,0.05,PayPal,Completed
108,1206,34,13,46,2024-09-27,2,71.12,0.0,Debit Card,Returned
109,1820,193,10,21,2025-05-30,3,248.63,0.0,PayPal,Completed
110,1413,19,10,4,2023-08-18,1,332.56,0.1,Gift Card,Cancelled
111,35,273,4,35,2024-04-24,6,265.88,0.15,Debit Card,Cancelled
112,1107,210,2,3,2025-12-05,3,77.07,0.0,Gift Card,Shipped
113,1921,264,5,48,2025-11-24,6,25.86,0.1,PayPal,Pending
114,350,288,6,14,2025-01-29,4,367.22,0.0,PayPal,Cancelled
115,1520,57,3,43,2023-04-16,2,207.9,0.0,Gift Card,Completed
116,948,276,12,17,2023-06-01,2,394.14,0.0,PayPal,Completed
117,926,42,15,44,2025-08-04,1,483.01,0.0,Cash,Shipped
118,1661,51,15,16,2024-06-28,2,190.91,0.05,Debit Card,Pending
119,1072,54,9,38,2023-06-19,2,43.29,0.15,Credit Card,Completed
120,1030,175,4,35,2025-06-08,5,86.78,0.0,PayPal,Completed
121,1007,276,4,35,2023-06-13,3,394.14,0.0,Credit Card,Completed
122,1345,294,12,17,2023-12-08,4,345.43,0.05,Cash,Completed
123,1148,218,6,9,2025-05-16,5,95.1,0.0,Cash,Completed
124,1525,259,2,37,2023-02-12,6,395.59,0.05,Cash,Completed
125,1379,203,4,26,2023-02-10,6,511.82,0.15,Credit Card,Completed
126,1613,300,10,6,2023-06-13,1,306.79,0.0,PayPal,Completed
127,276,162,8,24,2024-12-16,6,532.97,0.05,PayPal,Completed
128,1693,274,1,41,2023-07-26,5,57.88,0.15,Credit Card,Completed
129,125,70,5,23,2024-09-05,2,42.41,0.15,Debit Card,Pending
130,1856,176,7,2,2025-12-23,4,171.51,0.2,Debit Card,Returned
131,162,112,15,18,2024-12-15,5,347.45,0.05,Debit Card,Completed
132,1636,31,6,9,2023-01-15,6,179.93,0.0,Gift Card,Cancelled
133,1297,150,2,37,2025-07-11,6,157.31,0.0,Cash,Completed
134,1681,193,14,47,2024-05-05,5,248.63,0.05,Cash,Completed
135,208,195,6,9,2024-08-17,2,165.25,0.05,Debit Card,Completed
136,966,249,14,8,2024-01-08,4,471.0,0.0,PayPal,Completed
137,1569,194,10,29,2025-04-19,1,35.78,0.0,Cash,Completed
138,169,194,3,43,2024-06-06,3,35.78,0.0,Credit Card,Returned
139,1277,237,1,22,2024-10-24,6,159.44,0.0,PayPal,Cancelled
140,839,136,14,47,2023-03-29,3,266.29,0.0,Debit Card,Completed
141,1120,1,11,33,2023-10-05,4,31.01,0.0,Cash,Completed
142,860,107,3,31,2025-05-14,2,247.26,0.2,Cash,Completed
143,1386,139,11,12,2025-07-17,1,334.0,0.1,PayPal,Completed
144,1898,12,6,9,2025-04-23,5,582.22,0.2,Gift Card,Completed
145,533,2,8,24,2023-12-22,5,35.98,0.2,PayPal,Shipped
146,1568,139,9,38,2024-10-17,3,334.0,0.0,Cash,Completed
147,279,252,9,38,2023-09-10,4,163.4,0.0,Credit Card,Completed
148,1651,284,11,12,2023-09-03,1,413.62,0.2,Cash,Returned
149,416,157,13,13,2024-03-02,5,110.95,0.1,PayPal,Completed
150,1124,241,8,19,2025-06-26,6,108.19,0.15,PayPal,Cancelled
151,480,110,4,35,2025-04-08,3,570.1,0.2,Gift Card,Pending
152,194,120,1,41,2023-01-18,5,346.06,0.0,Cash,Completed
153,1692,215,4,35,2023-02-17,2,108.22,0.1,Gift Card,Completed
154,542,86,3,31,2023-03-22,3,302.91,0.0,Debit Card,Completed
155,1252,18,15,5,2024-12-30,2,383.42,0.0,Cash,Shipped
156,116,254,2,3,2024-07-11,1,307.61,0.1,Debit Card,Completed
157,1600,123,5,23,2023-06-04,1,203.09,0.1,PayPal,Pending
158,1956,74,5,1,2023-10-23,3,292.63,0.1,Credit Card,Pending
159,310,200,10,29,2024-06-07,5,214.09,0.05,Debit Card,Completed
160,161,254,3,31,2024-09-03,2,307.61,0.0,Credit Card,Shipped
161,1323,110,5,48,2023-12-20,1,570.1,0.1,Credit Card,Completed
162,784,270,4,34,2025-06-02,1,17.58,0.15,Debit Card,Returned
163,25,77,1,50,2025-03-28,4,442.92,0.15,Credit Card,Completed
164,1596,18,15,15,2023-03-07,5,383.42,0.0,Gift Card,Completed
165,849,70,15,44,2023-05-24,5,42.41,0.0,Gift Card,Completed
166,21,174,9,25,2025-08-10,4,62.11,0.1,Credit Card,Cancelled
167,1014,125,1,22,2023-10-07,3,152.14,0.2,Credit Card,Completed
168,443,237,13,46,2023-07-03,2,159.44,0.2,Gift Card,Completed
169,192,56,3,20,2024-02-23,5,176.55,0.2,PayPal,Returned
170,1812,39,1,50,2025-03-09,4,340.31,0.0,Credit Card,Completed
171,648,144,1,41,2025-04-14,1,296.96,0.05,PayPal,Completed
172,1655,36,3,43,2025-08-28,1,480.04,0.05,Cash,Shipped
173,111,75,4,34,2024-04-06,3,363.98,0.0,Debit Card,Completed
174,191,204,6,9,2023-02-01,2,75.04,0.0,Credit Card,Shipped
175,1872,9,3,43,2024-07-10,3,307.63,0.15,Gift Card,Pending
176,770,12,15,15,2024-03-02,6,582.22,0.0,Cash,Returned
177,461,67,6,9,2025-08-21,4,138.29,0.0,PayPal,Pending
178,1475,286,14,47,2023-02-19,6,217.06,0.0,Cash,Shipped
179,1197,277,14,47,2024-12-19,1,320.72,0.0,Credit Card,Completed
180,655,275,10,4,2023-07-06,2,255.49,0.2,PayPal,Returned
181,1552,147,15,18,2025-04-27,3,433.97,0.05,PayPal,Returned
182,260,110,11,12,2025-08-07,4,570.1,0.0,PayPal,Completed
183,639,234,9,38,2024-06-14,1,314.58,0.1,Gift Card,Completed
184,1157,57,14,8,2023-03-08,4,207.9,0.0,Credit Card,Completed
185,90,26,7,40,2025-04-06,5,68.26,0.15,Gift Card,Completed
186,1708,102,10,6,2024-10-29,2,455.19,0.0,PayPal,Shipped
187,920,21,7,40,2025-10-29,2,407.45,0.0,PayPal,Completed
188,653,141,9,38,2025-06-03,2,236.86,0.0,Debit Card,Completed
189,409,252,2,28,2023-10-31,1,163.4,0.0,Credit Card,Cancelled
190,1560,112,15,15,2023-01-05,1,347.45,0.0,PayPal,Completed
191,510,150,9,38,2025-04-05,4,157.31,0.0,PayPal,Completed
192,1058,267,1,22,2023-07-04,1,139.61,0.0,Gift Card,Completed
193,48,297,13,13,2023-07-09,4,334.26,0.1,Debit Card,Completed
194,1013,104,3,43,2025-07-24,6,61.42,0.2,PayPal,Pending
195,19,278,1,50,2024-11-20,1,98.31,0.2,Gift Card,Returned
196,502,21,5,23,2023-04-14,1,407.45,0.1,Debit Card,Shipped
197,244,50,4,34,2024-05-15,4,564.26,0.0,PayPal,Completed
198,652,48,15,5,2025-01-26,6,397.65,0.0,PayPal,Cancelled
199,1972,159,3,43,2023-11-04,2,323.53,0.15,Credit Card,Shipped
200,417,166,2,37,2024-05-04,3,172.27,0.05,Credit Card,Returned
201,769,295,8,24,2024-05-27,3,647.12,0.1,Gift Card,Shipped
202,304,28,7,40,2023-07-15,1,360.14,0.1,Cash,Completed
203,1477,9,15,32,2023-10-13,6,307.63,0.2,PayPal,Completed
204,1337,114,3,20,2025-11-17,3,356.17,0.0,Gift Card,Completed
205,1088,178,3,20,2025-10-22,1,41.87,0.05,Cash,Shipped
206,958,117,15,15,2025-01-04,6,77.12,0.0,Cash,Returned
207,706,233,3,20,2023-02-05,1,400.32,0.0,Debit Card,Completed
208,1581,287,10,4,2023-10-13,5,173.87,0.15,Credit Card,Cancelled
209,1407,215,9,25,2023-05-23,6,108.22,0.0,Cash,Cancelled
210,588,204,10,4,2023-08-23,1,21.56,0.1,Debit Card,Completed
211,874,210,1,41,2023-02-18,1,77.07,0.0,PayPal,Completed
212,294,235,4,35,2023-06-27,1,265.0,0.0,Debit Card,Completed
213,1163,219,15,15,2023-05-21,3,243.18,0.0,Credit Card,Completed
214,1939,273,11,12,2025-02-05,1,265.88,0.05,Gift Card,Returned
215,460,133,13,42,2024-10-01,4,321.54,0.15,Cash,Completed
216,1831,74,11,7,2025-06-19,4,292.63,0.0,Gift Card,Shipped
217,220,46,14,8,2024-11-12,3,393.27,0.05,Cash,Completed
218,532,121,8,19,2024-12-17,4,13.34,0.0,Gift Card,Pending
219,335,163,9,25,2023-07-27,6,270.34,0.15,Gift Card,Completed
220,808,232,11,7,2023-01-08,5,316.8,0.05,Gift Card,Returned
221,1909,205,15,16,2023-11-09,3,370.78,0.0,Gift Card,Pending
222,1046,139,14,47,2024-08-23,4,334.0,0.05,Debit Card,Completed
223,1309,107,10,4,2025-01-10,1,247.26,0.0,Credit Card,Returned
224,622,257,13,49,2025-09-16,3,29.22,0.0,Debit Card,Completed
225,1663,108,6,14,2024-09-21,1,603.53,0.0,Gift Card,Returned
226,1941,57,9,25,2023-11-05,6,207.9,0.05,PayPal,Shipped
227,336,183,12,11,2024-06-09,5,70.12,0.2,Credit Card,Completed
228,1641,145,7,40,2023-06-30,1,328.64,0.0,Debit Card,Pending
229,1088,76,9,25,2025-08-07,2,46.89,0.0,Debit Card,Returned
230,691,148,5,1,2025-10-21,5,293.31,0.2,Credit Card,Completed
231,1202,215,9,38,2023-02-17,4,108.22,0.05,Credit Card,Shipped
232,1673,52,6,9,2023-03-31,2,120.46,0.0,Cash,Completed
233,1345,143,5,1,2023-06-18,6,511.76,0.0,Credit Card,Completed
234,105,160,2,45,2025-12-17,2,466.97,0.05,Credit Card,Completed
235,1315,259,12,17,2025-02-27,1,395.59,0.0,Debit Card,Completed
236,216,229,1,36,2023-04-12,1,321.97,0.0,Credit Card,Shipped
237,610,244,1,36,2023-08-28,2,328.77,0.0,Credit Card,Pending
238,1561,285,10,29,2025-04-29,1,313.87,0.2,Gift Card,Completed
239,1558,182,15,15,2023-04-15,6,543.63,0.1,Credit Card,Shipped
240,1732,239,10,21,2025-12-08,3,337.62,0.0,Credit Card,Completed
241,698,115,4,34,2024-11-22,6,295.79,0.0,Gift Card,Completed
242,1144,271,15,15,2025-06-27,5,316.69,0.15,Gift Card,Completed
243,1227,29,3,31,2024-04-09,4,197.73,0.0,Credit Card,Returned
244,1132,263,7,2,2023-08-16,5,47.7,0.05,Debit Card,Completed
245,1387,197,15,15,2024-05-29,4,82.36,0.05,PayPal,Completed
246,694,117,4,34,2023-03-24,4,77.12,0.05,Credit Card,Completed
247,1121,8,3,31,2025-01-20,3,143.64,0.05,Credit Card,Completed
248,527,151,3,43,2024-02-02,2,61.55,0.0,Debit Card,Returned
249,801,300,3,20,2023-03-19,4,306.79,0.1,PayPal,Returned
250,532,204,6,14,2025-08-24,1,83.9,0.05,Credit Card,Cancelled
251,504,296,7,2,2025-01-16,6,81.85,0.15,Credit Card,Completed
252,1507,60,6,9,2025-04-12,3,307.03,0.2,Gift Card,Completed
253,984,5,2,3,2024-03-21,2,136.89,0.0,PayPal,Completed
254,1829,81,13,42,2024-07-31,2,379.78,0.15,PayPal,Completed
255,1184,71,9,25,2024-08-13,5,251.36,0.2,PayPal,Shipped
256,49,6,2,28,2024-09-09,1,628.51,0.15,PayPal,Returned
257,1668,8,13,13,2024-10-09,2,143.64,0.0,Credit Card,Completed
258,773,244,6,9,2025-01-16,6,328.77,0.1,Cash,Returned
259,474,169,7,2,2024-04-21,3,446.78,0.1,Credit Card,Completed
260,35,61,1,41,2024-07-19,4,172.42,0.05,Debit Card,Shipped
261,1680,300,8,39,2025-05-19,1,306.79,0.0,Debit Card,Pending
262,658,57,9,38,2023-10-08,5,207.9,0.2,Gift Card,Completed
263,675,51,15,18,2023-10-02,2,190.91,0.1,PayPal,Cancelled
264,202,175,8,39,2025-01-11,3,86.78,0.0,Credit Card,Returned
265,946,83,13,49,2024-04-10,6,347.94,0.05,Debit Card,Completed
266,892,190,5,23,2024-07-27,4,292.3,0.2,Gift Card,Pending
267,734,34,3,20,2025-06-23,1,71.12,0.0,Debit Card,Pending
268,251,186,1,50,2025-02-25,3,39.01,0.2,PayPal,Pending
269,986,32,11,7,2024-03-19,1,162.12,0.05,Cash,Cancelled
270,33,96,4,35,2025-06-24,3,595.96,0.2,Cash,Completed
271,1446,236,9,38,2024-01-06,4,209.86,0.0,PayPal,Completed
272,532,202,3,31,2025-12-17,2,211.09,0.05,PayPal,Completed
273,94,230,9,38,2025-05-03,4,49.56,0.0,Credit Card,Completed
274,1828,194,8,39,2024-02-28,2,35.78,0.05,Debit Card,Completed
275,1489,281,6,9,2025-04-01,4,125.56,0.05,Cash,Completed
276,447,271,10,6,2025-06-02,6,316.69,0.1,PayPal,Pending
277,1835,16,1,50,2024-06-23,5,561.32,0.1,PayPal,Returned
278,362,30,11,7,2024-11-16,2,544.88,0.0,Cash,Completed
279,1408,269,13,13,2023-10-24,4,260.22,0.0,Credit Card,Returned
280,1221,231,15,16,2025-05-28,3,52.2,0.2,Cash,Completed
281,1344,165,4,35,2025-04-22,4,216.64,0.0,PayPal,Pending
282,1024,174,10,29,2024-12-06,4,62.11,0.2,PayPal,Completed
283,495,270,12,10,2024-06-15,2,17.58,0.2,Gift Card,Completed
284,1536,67,4,34,2025-07-21,6,138.29,0.0,Credit Card,Completed
285,360,76,12,10,2025-09-14,1,46.89,0.0,Gift Card,Completed
286,1334,251,14,47,2025-05-22,5,355.21,0.0,Credit Card,Pending
287,118,151,7,2,2023-11-19,5,61.55,0.0,Cash,Completed
288,828,296,5,48,2024-04-21,1,81.85,0.0,Credit Card,Completed
289,1957,297,14,47,2023-01-17,2,334.26,0.1,Debit Card,Completed
290,1530,212,1,36,2023-01-29,1,26.85,0.0,Gift Card,Completed
291,1698,40,5,23,2023-05-05,4,408.98,0.1,Credit Card,Completed
292,1810,10,8,24,2024-03-18,1,46.02,0.05,Gift Card,Completed
293,81,176,15,44,2023-01-23,1,171.51,0.0,Debit Card,Completed
294,1711,235,3,31,2024-01-11,3,265.0,0.0,PayPal,Returned
295,1768,226,4,26,2023-11-24,4,522.95,0.05,PayPal,Completed
296,1962,289,1,36,2023-03-08,6,246.14,0.05,Cash,Cancelled
297,1805,180,1,36,2024-10-27,1,177.87,0.15,PayPal,Completed
298,947,81,4,26,2025-10-07,2,379.78,0.1,Debit Card,Completed
299,242,199,15,27,2024-03-31,3,314.59,0.15,Cash,Completed
300,1674,220,13,49,2023-05-02,2,357.02,0.2,Gift Card,Returned
301,1323,170,8,24,2023-12-18,2,260.29,0.1,Cash,Shipped
302,1002,136,4,35,2025-02-04,1,266.29,0.05,PayPal,Completed
303,618,2,14,47,2025-05-07,6,35.98,0.05,Gift Card,Cancelled
304,348,23,14,8,2023-01-21,6,298.77,0.15,PayPal,Completed
305,1219,24,14,8,2023-12-06,1,129.26,0.0,Debit Card,Shipped
306,573,133,10,4,2023-03-12,5,321.54,0.0,Debit Card,Completed
307,507,106,6,9,2023-12-21,2,127.35,0.0,Credit Card,Cancelled
308,1659,192,1,36,2024-11-09,1,29.92,0.0,Cash,Completed
309,1631,18,5,23,2024-04-07,4,383.42,0.1,Debit Card,Shipped
310,1547,126,10,6,2024-01-30,2,333.86,0.0,Gift Card,Completed
311,1213,219,15,15,2023-09-28,1,243.18,0.2,Cash,Completed
312,251,65,10,6,2024-07-05,3,543.26,0.0,PayPal,Completed
313,1598,171,1,50,2025-03-15,3,293.86,0.2,Credit Card,Completed
314,498,255,2,28,2025-04-02,2,118.85,0.0,Gift Card,Pending
315,762,143,5,48,2023-11-24,1,511.76,0.05,PayPal,Completed
316,1313,48,13,42,2024-02-21,4,397.65,0.0,PayPal,Completed
317,811,229,3,20,2023-06-05,6,321.97,0.0,Gift Card,Completed
318,1480,206,6,9,2023-09-20,4,367.62,0.2,Gift Card,Shipped
319,1368,261,6,9,2025-03-27,3,638.9,0.05,Debit Card,Completed
320,1824,218,12,10,2023-09-04,4,95.1,0.2,Credit Card,Completed
321,1352,273,1,36,2024-07-04,3,265.88,0.2,Cash,Completed
322,341,55,1,36,2023-05-09,3,17.81,0.15,Cash,Completed
323,651,49,6,9,2024-07-08,2,148.66,0.15,Credit Card,Completed
324,614,122,10,4,2023-04-12,5,203.86,0.2,Gift Card,Pending
325,945,72,15,27,2024-06-18,4,301.36,0.1,Cash,Completed
326,515,68,12,17,2023-11-11,5,15.0,0.1,Cash,Completed
327,659,277,11,33,2023-08-13,5,320.72,0.0,Cash,Completed
328,990,253,13,49,2023-03-26,4,101.3,0.05,PayPal,Returned
329,1804,121,4,26,2023-12-15,5,13.34,0.05,Credit Card,Cancelled
330,340,175,6,9,2025-08-14,6,86.78,0.1,Gift Card,Shipped
331,1810,267,5,1,2024-11-14,3,139.61,0.15,PayPal,Completed
332,1433,224,3,31,2025-09-05,2,190.7,0.05,Credit Card,Completed
333,546,204,12,17,2025-09-14,2,135.11,0.2,Cash,Completed
334,1766,164,5,1,2025-02-03,1,117.71,0.2,Debit Card,Returned
335,354,94,9,25,2024-12-18,1,325.59,0.1,Cash,Completed
336,1913,208,12,17,2023-12-11,3,146.45,0.05,PayPal,Completed
337,1207,129,7,2,2024-01-05,6,267.03,0.0,Debit Card,Completed
338,504,141,13,30,2023-06-28,3,236.86,0.1,PayPal,Completed
339,1241,214,1,22,2025-03-18,2,264.25,0.2,Credit Card,Pending
340,817,1,3,31,2024-06-21,3,31.01,0.2,PayPal,Completed
341,398,95,6,14,2023-05-17,4,435.89,0.2,Credit Card,Shipped
342,1259,39,1,36,2023-04-13,6,340.31,0.2,PayPal,Completed
343,760,103,4,26,2023-12-28,3,220.08,0.2,Credit Card,Pending
344,783,3,2,28,2023-04-06,4,507.54,0.0,Gift Card,Completed
345,77,165,8,39,2025-03-30,3,216.64,0.05,Gift Card,Completed
346,971,224,14,8,2023-09-23,4,190.7,0.0,PayPal,Completed
347,22,8,12,11,2024-10-28,2,143.64,0.05,Debit Card,Completed
348,185,228,5,23,2025-05-21,6,247.35,0.0,Credit Card,Completed
349,1611,211,4,26,2023-08-23,1,199.85,0.15,Cash,Shipped
350,1977,223,12,10,2024-09-05,2,162.74,0.0,Gift Card,Completed
351,1844,148,6,14,2023-08-27,6,293.31,0.0,Debit Card,Pending
352,1349,199,8,24,2025-12-07,4,314.59,0.2,Gift Card,Completed
353,1619,129,14,8,2024-08-21,2,267.03,0.1,Cash,Completed
354,1657,36,15,18,2025-08-27,3,480.04,0.2,Credit Card,Cancelled
355,41,45,9,38,2025-10-09,5,107.36,0.1,Debit Card,Completed
356,375,22,5,48,2023-12-12,2,90.87,0.05,Cash,Shipped
357,160,255,13,42,2023-12-11,3,118.85,0.05,Debit Card,Cancelled
358,1173,131,9,38,2025-07-07,5,582.03,0.2,Debit Card,Completed
359,1583,275,6,14,2025-01-27,6,255.49,0.0,Debit Card,Returned
360,576,240,7,2,2023-12-21,4,196.7,0.15,Credit Card,Shipped
361,1961,2,11,7,2024-11-25,3,35.98,0.15,Gift Card,Cancelled
362,358,47,12,11,2025-03-11,6,126.89,0.0,Cash,Completed
363,1236,9,13,49,2023-03-08,5,307.63,0.2,Gift Card,Completed
364,537,219,9,25,2023-04-13,3,243.18,0.05,Credit Card,Returned
365,934,259,5,1,2025-12-06,2,395.59,0.05,Gift Card,Completed
366,169,278,12,11,2025-07-13,6,98.31,0.2,Gift Card,Cancelled
367,1739,240,5,23,2023-09-27,6,196.7,0.05,Gift Card,Completed
368,754,153,9,25,2023-06-28,5,238.04,0.0,Credit Card,Completed
369,974,86,3,31,2023-08-14,1,302.91,0.2,Cash,Shipped
370,1331,288,1,50,2025-02-27,1,367.22,0.0,Cash,Completed
371,69,173,7,40,2023-03-16,2,159.58,0.15,Gift Card,Completed
372,1213,261,5,23,2024-05-18,2,638.9,0.0,Gift Card,Returned
373,1364,109,11,12,2023-02-15,4,33.31,0.05,PayPal,Completed
