order_id,customer_id,product_id,store_id,employee_id,order_date,quantity,unit_price,discount_pct,payment_method,order_status,total_price,order_month
22,972,164,15,18,2023-12-16,3.0,117.71,0.1,Credit Card,Completed,317.82,2023-12
23,1815,205,7,2,2024-12-16,2.0,370.78,0.2,Credit Card,Completed,593.25,2024-12
24,1173,81,11,12,2023-11-06,1.0,379.78,0.0,Gift Card,Cancelled,379.78,2023-11
25,311,163,4,26,2024-10-08,6.0,270.34,0.15,Debit Card,Returned,1378.73,2024-10
26,949,79,7,2,2025-04-16,2.0,143.89,0.2,Debit Card,Shipped,230.22,2025-04
27,773,39,1,50,2024-11-17,5.0,340.31,0.1,PayPal,Completed,1531.4,2024-11
28,399,105,6,9,2023-08-08,2.0,500.45,0.15,Credit Card,Completed,850.76,2023-08
29,1095,115,5,48,2023-11-18,6.0,295.79,0.0,Debit Card,Completed,1774.74,2023-11
30,1602,40,2,28,2025-02-01,6.0,408.98,0.0,Cash,Completed,2453.88,2025-02
31,1782,223,9,25,2025-05-04,5.0,162.74,0.05,Cash,Returned,773.02,2025-05
32,213,299,15,5,2023-08-13,5.0,150.33,0.0,PayPal,Shipped,751.65,2023-08
33,798,159,9,25,2024-09-17,2.0,323.53,0.2,Credit Card,Completed,517.65,2024-09
34,364,292,13,46,2025-10-26,4.0,398.38,0.05,Debit Card,Pending,1513.84,2025-10
35,1067,168,14,47,2025-03-05,6.0,303.92,0.05,Gift Card,Shipped,1732.34,2025-03
36,1588,61,12,11,2025-06-10,6.0,172.42,0.0,Cash,Completed,1034.52,2025-06
37,229,73,11,7,2025-06-12,2.0,68.44,0.0,Debit Card,Completed,136.88,2025-06
38,626,33,3,20,2023-04-04,3.0,422.83,0.0,PayPal,Shipped,1268.49,2023-04
39,577,249,4,26,2025-11-12,5.0,471.0,0.2,Credit Card,Completed,1884.0,2025-11
40,915,79,8,39,2025-04-12,5.0,143.89,0.1,PayPal,Shipped,647.5,2025-04
41,198,83,12,17,2025-11-18,1.0,347.94,0.15,Credit Card,Completed,295.75,2025-11
42,865,210,4,34,2023-02-12,6.0,77.07,0.15,Credit Card,Completed,393.06,2023-02
43,713,101,1,22,2023-11-27,2.0,314.94,0.1,Debit Card,Returned,566.89,2023-11
44,8,165,14,8,2023-04-06,3.0,216.64,0.2,Cash,Completed,519.94,2023-04
45,1842,121,4,35,2023-01-04,3.0,13.34,0.1,Gift Card,Completed,36.02,2023-01
46,1352,290,14,8,2023-05-08,1.0,30.66,0.05,PayPal,Returned,29.13,2023-05
47,336,235,12,11,2025-06-12,2.0,265.0,0.2,Debit Card,Completed,424.0,2025-06
48,1807,257,14,8,2025-02-28,6.0,29.22,0.2,Debit Card,Completed,140.26,2025-02
49,835,43,14,47,2025-11-01,1.0,121.68,0.15,Debit Card,Returned,103.43,2025-11
50,215,127,7,40,2025-06-07,5.0,90.5,0.0,Credit Card,Completed,452.5,2025-06
51,318,259,2,28,2023-11-18,2.0,395.59,0.15,Credit Card,Completed,672.5,2023-11
52,1740,261,11,33,2024-04-03,3.0,638.9,0.0,PayPal,Pending,1916.7,2024-04
53,1083,245,12,10,2024-10-28,6.0,328.64,0.2,Gift Card,Completed,1577.47,2024-10
54,1010,198,15,18,2023-07-14,6.0,125.5,0.0,Cash,Returned,753.0,2023-07
55,13,276,14,8,2025-12-06,6.0,394.14,0.2,Debit Card,Shipped,1891.87,2025-12
56,1273,66,13,13,2025-08-14,5.0,330.95,0.05,Credit Card,Returned,1572.01,2025-08
57,1423,57,8,39,2024-12-22,4.0,207.9,0.1,PayPal,Completed,748.44,2024-12
58,717,255,12,11,2023-12-31,1.0,118.85,0.15,Gift Card,Completed,101.02,2023-12
59,1426,205,7,40,2025-12-28,2.0,370.78,0.1,PayPal,Cancelled,667.4,2025-12
60,284,166,14,8,2025-07-06,2.0,172.27,0.0,Cash,Completed,344.54,2025-07
61,1234,140,6,9,2025-06-10,6.0,257.08,0.15,Gift Card,Completed,1311.11,2025-06
62,1816,70,12,11,2023-02-16,4.0,42.41,0.0,Debit Card,Pending,169.64,2023-02
63,844,217,13,49,2024-09-15,1.0,80.74,0.2,PayPal,Pending,64.59,2024-09
64,993,12,10,29,2023-01-08,5.0,582.22,0.2,Cash,Pending,2328.88,2023-01
65,1020,131,11,33,2024-12-21,5.0,582.03,0.0,Cash,Returned,2910.15,2024-12
66,1644,259,2,28,2024-09-11,1.0,395.59,0.05,Debit Card,Pending,375.81,2024-09
67,1063,176,5,23,2024-02-27,4.0,171.51,0.15,Gift Card,Completed,583.13,2024-02
68,1094,15,5,48,2024-06-27,3.0,454.62,0.0,PayPal,Completed,1363.86,2024-06
69,1311,264,3,43,2025-03-18,1.0,25.86,0.0,Credit Card,Completed,25.86,2025-03
70,336,205,14,8,2023-10-13,4.0,370.78,0.0,Gift Card,Returned,1483.12,2023-10
71,1233,32,5,48,2023-02-07,5.0,162.12,0.0,PayPal,Shipped,810.6,2023-02
72,735,267,14,47,2023-08-02,2.0,139.61,0.0,Credit Card,Completed,279.22,2023-08
73,625,277,6,14,2024-04-30,5.0,320.72,0.1,Cash,Pending,1443.24,2024-04
74,1134,178,14,8,2025-05-01,2.0,41.87,0.0,Gift Card,Completed,83.74,2025-05
75,1875,7,13,42,2023-04-07,1.0,279.59,0.0,Cash,Completed,279.59,2023-04
76,1557,207,12,11,2023-07-28,5.0,245.28,0.2,Debit Card,Cancelled,981.12,2023-07
77,794,150,1,41,2023-07-18,5.0,157.31,0.0,Gift Card,Completed,786.55,2023-07
78,885,230,9,38,2023-04-17,5.0,49.56,0.2,Credit Card,Pending,198.24,2023-04
79,1088,242,11,7,2023-11-28,6.0,378.8,0.2,Credit Card,Completed,1818.24,2023-11
80,876,191,2,28,2023-09-09,1.0,519.67,0.0,Cash,Shipped,519.67,2023-09
81,270,23,5,23,2025-03-16,4.0,298.77,0.0,Gift Card,Cancelled,1195.08,2025-03
82,1677,192,9,38,2023-12-04,1.0,29.92,0.05,Debit Card,Completed,28.42,2023-12
83,1865,177,2,37,2025-06-12,4.0,467.22,0.0,Gift Card,Cancelled,1868.88,2025-06
84,378,93,13,30,2023-09-13,5.0,380.69,0.0,Debit Card,Cancelled,1903.45,2023-09
85,1327,151,4,35,2025-06-19,1.0,61.55,0.0,Cash,Pending,61.55,2025-06
86,622,278,8,24,2024-08-13,6.0,98.31,0.2,Cash,Cancelled,471.89,2024-08
87,1231,224,10,6,2024-10-30,2.0,190.7,0.0,PayPal,Completed,381.4,2024-10
88,13,251,4,34,2023-06-17,2.0,355.21,0.0,Cash,Cancelled,710.42,2023-06
89,341,29,4,26,2023-01-07,6.0,197.73,0.0,Debit Card,Returned,1186.38,2023-01
90,1939,47,11,7,2023-05-20,6.0,126.89,0.2,Debit Card,Pending,609.07,2023-05
91,1311,74,15,44,2025-08-06,4.0,292.63,0.0,Cash,Returned,1170.52,2025-08
92,1265,178,9,25,2024-10-19,6.0,41.87,0.15,PayPal,Cancelled,213.54,2024-10
93,371,300,6,9,2024-09-17,2.0,306.79,0.15,Debit Card,Cancelled,521.54,2024-09
94,208,208,12,11,2023-08-25,5.0,146.45,0.0,Cash,Pending,732.25,2023-08
95,919,35,10,4,2023-04-23,3.0,53.95,0.0,Cash,Completed,161.85,2023-04
96,190,133,5,48,2025-07-06,4.0,321.54,0.0,Gift Card,Shipped,1286.16,2025-07
97,1308,110,4,34,2024-12-31,3.0,570.1,0.05,Credit Card,Shipped,1624.78,2024-12
98,244,183,14,47,2024-09-06,6.0,70.12,0.2,Debit Card,Pending,336.58,2024-09
99,1736,105,5,23,2023-03-17,3.0,500.45,0.0,PayPal,Pending,1501.35,2023-03
100,456,100,9,25,2023-09-13,5.0,447.11,0.0,Credit Card,Returned,2235.55,2023-09
101,1410,103,14,8,2024-05-05,6.0,220.08,0.1,Gift Card,Completed,1188.43,2024-05
102,1051,243,15,5,2025-11-02,2.0,523.63,0.2,Cash,Completed,837.81,2025-11
103,983,279,13,30,2025-08-31,2.0,281.48,0.0,PayPal,Shipped,562.96,2025-08
104,648,33,7,2,2024-10-03,2.0,422.83,0.0,Cash,Pending,845.66,2024-10
105,1704,109,7,40,2024-11-01,4.0,33.31,0.2,Credit Card,Completed,106.59,2024-11
106,730,218,9,25,2025-09-06,2.0,95.1,0.0,Gift Card,Shipped,190.2,2025-09
107,1506,246,8,19,2025-06-25,6.0,594.34,0.05,PayPal,Completed,3387.74,2025-06
108,1206,34,13,46,2024-09-27,2.0,71.12,0.0,Debit Card,Returned,142.24,2024-09
109,1820,193,10,21,2025-05-30,3.0,248.63,0.0,PayPal,Completed,745.89,2025-05
110,1413,19,10,4,2023-08-18,1.0,332.56,0.1,Gift Card,Cancelled,299.3,2023-08
111,35,273,4,35,2024-04-24,6.0,265.88,0.15,Debit Card,Cancelled,1355.99,2024-04
112,1107,210,2,3,2025-12-05,3.0,77.07,0.0,Gift Card,Shipped,231.21,2025-12
113,1921,264,5,48,2025-11-24,6.0,25.86,0.1,PayPal,Pending,139.64,2025-11
114,350,288,6,14,2025-01-29,4.0,367.22,0.0,PayPal,Cancelled,1468.88,2025-01
115,1520,57,3,43,2023-04-16,2.0,207.9,0.0,Gift Card,Completed,415.8,2023-04
116,948,276,12,17,2023-06-01,2.0,394.14,0.0,PayPal,Completed,788.28,2023-06
117,926,42,15,44,2025-08-04,1.0,483.01,0.0,Cash,Shipped,483.01,2025-08
118,1661,51,15,16,2024-06-28,2.0,190.91,0.05,Debit Card,Pending,362.73,2024-06
119,1072,54,9,38,2023-06-19,2.0,43.29,0.15,Credit Card,Completed,73.59,2023-06
120,1030,175,4,35,2025-06-08,5.0,86.78,0.0,PayPal,Completed,433.9,2025-06
121,1007,276,4,35,2023-06-13,3.0,394.14,0.0,Credit Card,Completed,1182.42,2023-06
122,1345,294,12,17,2023-12-08,4.0,345.43,0.05,Cash,Completed,1312.63,2023-12
123,1148,218,6,9,2025-05-16,5.0,95.1,0.0,Cash,Completed,475.5,2025-05
124,1525,259,2,37,2023-02-12,6.0,395.59,0.05,Cash,Completed,2254.86,2023-02
125,1379,203,4,26,2023-02-10,6.0,511.82,0.15,Credit Card,Completed,2610.28,2023-02
126,1613,300,10,6,2023-06-13,1.0,306.79,0.0,PayPal,Completed,306.79,2023-06
127,276,162,8,24,2024-12-16,6.0,532.97,0.05,PayPal,Completed,3037.93,2024-12
128,1693,274,1,41,2023-07-26,5.0,57.88,0.15,Credit Card,Completed,245.99,2023-07
129,125,70,5,23,2024-09-05,2.0,42.41,0.15,Debit Card,Pending,72.1,2024-09
130,1856,176,7,2,2025-12-23,4.0,171.51,0.2,Debit Card,Returned,548.83,2025-12
131,162,112,15,18,2024-12-15,5.0,347.45,0.05,Debit Card,Completed,1650.39,2024-12
132,1636,31,6,9,2023-01-15,6.0,179.93,0.0,Gift Card,Cancelled,1079.58,2023-01
133,1297,150,2,37,2025-07-11,6.0,157.31,0.0,Cash,Completed,943.86,2025-07
134,1681,193,14,47,2024-05-05,5.0,248.63,0.05,Cash,Completed,1180.99,2024-05
135,208,195,6,9,2024-08-17,2.0,165.25,0.05,Debit Card,Completed,313.97,2024-08
136,966,249,14,8,2024-01-08,4.0,471.0,0.0,PayPal,Completed,1884.0,2024-01
137,1569,194,10,29,2025-04-19,1.0,35.78,0.0,Cash,Completed,35.78,2025-04
138,169,194,3,43,2024-06-06,3.0,35.78,0.0,Credit Card,Returned,107.34,2024-06
139,1277,237,1,22,2024-10-24,6.0,159.44,0.0,PayPal,Cancelled,956.64,2024-10
140,839,136,14,47,2023-03-29,3.0,266.29,0.0,Debit Card,Completed,798.87,2023-03
141,1120,1,11,33,2023-10-05,4.0,31.01,0.0,Cash,Completed,124.04,2023-10
142,860,107,3,31,2025-05-14,2.0,247.26,0.2,Cash,Completed,395.62,2025-05
143,1386,139,11,12,2025-07-17,1.0,334.0,0.1,PayPal,Completed,300.6,2025-07
144,1898,12,6,9,2025-04-23,5.0,582.22,0.2,Gift Card,Completed,2328.88,2025-04
145,533,2,8,24,2023-12-22,5.0,35.98,0.2,PayPal,Shipped,143.92,2023-12
146,1568,139,9,38,2024-10-17,3.0,334.0,0.0,Cash,Completed,1002.0,2024-10
147,279,252,9,38,2023-09-10,4.0,163.4,0.0,Credit Card,Completed,653.6,2023-09
148,1651,284,11,12,2023-09-03,1.0,413.62,0.2,Cash,Returned,330.9,2023-09
149,416,157,13,13,2024-03-02,5.0,110.95,0.1,PayPal,Completed,499.28,2024-03
150,1124,241,8,19,2025-06-26,6.0,108.19,0.15,PayPal,Cancelled,551.77,2025-06
151,480,110,4,35,2025-04-08,3.0,570.1,0.2,Gift Card,Pending,1368.24,2025-04
152,194,120,1,41,2023-01-18,5.0,346.06,0.0,Cash,Completed,1730.3,2023-01
153,1692,215,4,35,2023-02-17,2.0,108.22,0.1,Gift Card,Completed,194.8,2023-02
154,542,86,3,31,2023-03-22,3.0,302.91,0.0,Debit Card,Completed,908.73,2023-03
155,1252,18,15,5,2024-12-30,2.0,383.42,0.0,Cash,Shipped,766.84,2024-12
156,116,254,2,3,2024-07-11,1.0,307.61,0.1,Debit Card,Completed,276.85,2024-07
157,1600,123,5,23,2023-06-04,1.0,203.09,0.1,PayPal,Pending,182.78,2023-06
158,1956,74,5,1,2023-10-23,3.0,292.63,0.1,Credit Card,Pending,790.1,2023-10
159,310,200,10,29,2024-06-07,5.0,214.09,0.05,Debit Card,Completed,1016.93,2024-06
160,161,254,3,31,2024-09-03,2.0,307.61,0.0,Credit Card,Shipped,615.22,2024-09
161,1323,110,5,48,2023-12-20,1.0,570.1,0.1,Credit Card,Completed,513.09,2023-12
162,784,270,4,34,2025-06-02,1.0,17.58,0.15,Debit Card,Returned,14.94,2025-06
163,25,77,1,50,2025-03-28,4.0,442.92,0.15,Credit Card,Completed,1505.93,2025-03
164,1596,18,15,15,2023-03-07,5.0,383.42,0.0,Gift Card,Completed,1917.1,2023-03
165,849,70,15,44,2023-05-24,5.0,42.41,0.0,Gift Card,Completed,212.05,2023-05
166,21,174,9,25,2025-08-10,4.0,62.11,0.1,Credit Card,Cancelled,223.6,2025-08
167,1014,125,1,22,2023-10-07,3.0,152.14,0.2,Credit Card,Completed,365.14,2023-10
168,443,237,13,46,2023-07-03,2.0,159.44,0.2,Gift Card,Completed,255.1,2023-07
169,192,56,3,20,2024-02-23,5.0,176.55,0.2,PayPal,Returned,706.2,2024-02
170,1812,39,1,50,2025-03-09,4.0,340.31,0.0,Credit Card,Completed,1361.24,2025-03
171,648,144,1,41,2025-04-14,1.0,296.96,0.05,PayPal,Completed,282.11,2025-04
172,1655,36,3,43,2025-08-28,1.0,480.04,0.05,Cash,Shipped,456.04,2025-08
173,111,75,4,34,2024-04-06,3.0,363.98,0.0,Debit Card,Completed,1091.94,2024-04
174,191,204,6,9,2023-02-01,2.0,75.04,0.0,Credit Card,Shipped,150.08,2023-02
175,1872,9,3,43,2024-07-10,3.0,307.63,0.15,Gift Card,Pending,784.46,2024-07
176,770,12,15,15,2024-03-02,6.0,582.22,0.0,Cash,Returned,3493.32,2024-03
177,461,67,6,9,2025-08-21,4.0,138.29,0.0,PayPal,Pending,553.16,2025-08
178,1475,286,14,47,2023-02-19,6.0,217.06,0.0,Cash,Shipped,1302.36,2023-02
179,1197,277,14,47,2024-12-19,1.0,320.72,0.0,Credit Card,Completed,320.72,2024-12
180,655,275,10,4,2023-07-06,2.0,255.49,0.2,PayPal,Returned,408.78,2023-07
181,1552,147,15,18,2025-04-27,3.0,433.97,0.05,PayPal,Returned,1236.81,2025-04
182,260,110,11,12,2025-08-07,4.0,570.1,0.0,PayPal,Completed,2280.4,2025-08
183,639,234,9,38,2024-06-14,1.0,314.58,0.1,Gift Card,Completed,283.12,2024-06
184,1157,57,14,8,2023-03-08,4.0,207.9,0.0,Credit Card,Completed,831.6,2023-03
185,90,26,7,40,2025-04-06,5.0,68.26,0.15,Gift Card,Completed,290.1,2025-04
186,1708,102,10,6,2024-10-29,2.0,455.19,0.0,PayPal,Shipped,910.38,2024-10
187,920,21,7,40,2025-10-29,2.0,407.45,0.0,PayPal,Completed,814.9,2025-10
188,653,141,9,38,2025-06-03,2.0,236.86,0.0,Debit Card,Completed,473.72,2025-06
189,409,252,2,28,2023-10-31,1.0,163.4,0.0,Credit Card,Cancelled,163.4,2023-10
190,1560,112,15,15,2023-01-05,1.0,347.45,0.0,PayPal,Completed,347.45,2023-01
191,510,150,9,38,2025-04-05,4.0,157.31,0.0,PayPal,Completed,629.24,2025-04
192,1058,267,1,22,2023-07-04,1.0,139.61,0.0,Gift Card,Completed,139.61,2023-07
193,48,297,13,13,2023-07-09,4.0,334.26,0.1,Debit Card,Completed,1203.34,2023-07
194,1013,104,3,43,2025-07-24,6.0,61.42,0.2,PayPal,Pending,294.82,2025-07
195,19,278,1,50,2024-11-20,1.0,98.31,0.2,Gift Card,Returned,78.65,2024-11
196,502,21,5,23,2023-04-14,1.0,407.45,0.1,Debit Card,Shipped,366.7,2023-04
197,244,50,4,34,2024-05-15,4.0,564.26,0.0,PayPal,Completed,2257.04,2024-05
198,652,48,15,5,2025-01-26,6.0,397.65,0.0,PayPal,Cancelled,2385.9,2025-01
199,1972,159,3,43,2023-11-04,2.0,323.53,0.15,Credit Card,Shipped,550.0,2023-11
200,417,166,2,37,2024-05-04,3.0,172.27,0.05,Credit Card,Returned,490.97,2024-05
201,769,295,8,24,2024-05-27,3.0,647.12,0.1,Gift Card,Shipped,1747.22,2024-05
202,304,28,7,40,2023-07-15,1.0,360.14,0.1,Cash,Completed,324.13,2023-07
203,1477,9,15,32,2023-10-13,6.0,307.63,0.2,PayPal,Completed,1476.62,2023-10
204,1337,114,3,20,2025-11-17,3.0,356.17,0.0,Gift Card,Completed,1068.51,2025-11
205,1088,178,3,20,2025-10-22,1.0,41.87,0.05,Cash,Shipped,39.78,2025-10
206,958,117,15,15,2025-01-04,6.0,77.12,0.0,Cash,Returned,462.72,2025-01
207,706,233,3,20,2023-02-05,1.0,400.32,0.0,Debit Card,Completed,400.32,2023-02
208,1581,287,10,4,2023-10-13,5.0,173.87,0.15,Credit Card,Cancelled,738.95,2023-10
209,1407,215,9,25,2023-05-23,6.0,108.22,0.0,Cash,Cancelled,649.32,2023-05
210,588,204,10,4,2023-08-23,1.0,21.56,0.1,Debit Card,Completed,19.4,2023-08
211,874,210,1,41,2023-02-18,1.0,77.07,0.0,PayPal,Completed,77.07,2023-02
212,294,235,4,35,2023-06-27,1.0,265.0,0.0,Debit Card,Completed,265.0,2023-06
213,1163,219,15,15,2023-05-21,3.0,243.18,0.0,Credit Card,Completed,729.54,2023-05
214,1939,273,11,12,2025-02-05,1.0,265.88,0.05,Gift Card,Returned,252.59,2025-02
215,460,133,13,42,2024-10-01,4.0,321.54,0.15,Cash,Completed,1093.24,2024-10
216,1831,74,11,7,2025-06-19,4.0,292.63,0.0,Gift Card,Shipped,1170.52,2025-06
217,220,46,14,8,2024-11-12,3.0,393.27,0.05,Cash,Completed,1120.82,2024-11
218,532,121,8,19,2024-12-17,4.0,13.34,0.0,Gift Card,Pending,53.36,2024-12
219,335,163,9,25,2023-07-27,6.0,270.34,0.15,Gift Card,Completed,1378.73,2023-07
220,808,232,11,7,2023-01-08,5.0,316.8,0.05,Gift Card,Returned,1504.8,2023-01
221,1909,205,15,16,2023-11-09,3.0,370.78,0.0,Gift Card,Pending,1112.34,2023-11
222,1046,139,14,47,2024-08-23,4.0,334.0,0.05,Debit Card,Completed,1269.2,2024-08
223,1309,107,10,4,2025-01-10,1.0,247.26,0.0,Credit Card,Returned,247.26,2025-01
224,622,257,13,49,2025-09-16,3.0,29.22,0.0,Debit Card,Completed,87.66,2025-09
225,1663,108,6,14,2024-09-21,1.0,603.53,0.0,Gift Card,Returned,603.53,2024-09
226,1941,57,9,25,2023-11-05,6.0,207.9,0.05,PayPal,Shipped,1185.03,2023-11
227,336,183,12,11,2024-06-09,5.0,70.12,0.2,Credit Card,Completed,280.48,2024-06
228,1641,145,7,40,2023-06-30,1.0,328.64,0.0,Debit Card,Pending,328.64,2023-06
229,1088,76,9,25,2025-08-07,2.0,46.89,0.0,Debit Card,Returned,93.78,2025-08
230,691,148,5,1,2025-10-21,5.0,293.31,0.2,Credit Card,Completed,1173.24,2025-10
231,1202,215,9,38,2023-02-17,4.0,108.22,0.05,Credit Card,Shipped,411.24,2023-02
232,1673,52,6,9,2023-03-31,2.0,120.46,0.0,Cash,Completed,240.92,2023-03
233,1345,143,5,1,2023-06-18,6.0,511.76,0.0,Credit Card,Completed,3070.56,2023-06
234,105,160,2,45,2025-12-17,2.0,466.97,0.05,Credit Card,Completed,887.24,2025-12
235,1315,259,12,17,2025-02-27,1.0,395.59,0.0,Debit Card,Completed,395.59,2025-02
236,216,229,1,36,2023-04-12,1.0,321.97,0.0,Credit Card,Shipped,321.97,2023-04
237,610,244,1,36,2023-08-28,2.0,328.77,0.0,Credit Card,Pending,657.54,2023-08
238,1561,285,10,29,2025-04-29,1.0,313.87,0.2,Gift Card,Completed,251.1,2025-04
239,1558,182,15,15,2023-04-15,6.0,543.63,0.1,Credit Card,Shipped,2935.6,2023-04
240,1732,239,10,21,2025-12-08,3.0,337.62,0.0,Credit Card,Completed,1012.86,2025-12
241,698,115,4,34,2024-11-22,6.0,295.79,0.0,Gift Card,Completed,1774.74,2024-11
242,1144,271,15,15,2025-06-27,5.0,316.69,0.15,Gift Card,Completed,1345.93,2025-06
243,1227,29,3,31,2024-04-09,4.0,197.73,0.0,Credit Card,Returned,790.92,2024-04
244,1132,263,7,2,2023-08-16,5.0,47.7,0.05,Debit Card,Completed,226.58,2023-08
245,1387,197,15,15,2024-05-29,4.0,82.36,0.05,PayPal,Completed,312.97,2024-05
246,694,117,4,34,2023-03-24,4.0,77.12,0.05,Credit Card,Completed,293.06,2023-03
247,1121,8,3,31,2025-01-20,3.0,143.64,0.05,Credit Card,Completed,409.37,2025-01
248,527,151,3,43,2024-02-02,2.0,61.55,0.0,Debit Card,Returned,123.1,2024-02
249,801,300,3,20,2023-03-19,4.0,306.79,0.1,PayPal,Returned,1104.44,2023-03
250,532,204,6,14,2025-08-24,1.0,83.9,0.05,Credit Card,Cancelled,79.7,2025-08
251,504,296,7,2,2025-01-16,6.0,81.85,0.15,Credit Card,Completed,417.43,2025-01
252,1507,60,6,9,2025-04-12,3.0,307.03,0.2,Gift Card,Completed,736.87,2025-04
253,984,5,2,3,2024-03-21,2.0,136.89,0.0,PayPal,Completed,273.78,2024-03
254,1829,81,13,42,2024-07-31,2.0,379.78,0.15,PayPal,Completed,645.63,2024-07
255,1184,71,9,25,2024-08-13,5.0,251.36,0.2,PayPal,Shipped,1005.44,2024-08
256,49,6,2,28,2024-09-09,1.0,628.51,0.15,PayPal,Returned,534.23,2024-09
257,1668,8,13,13,2024-10-09,2.0,143.64,0.0,Credit Card,Completed,287.28,2024-10
258,773,244,6,9,2025-01-16,6.0,328.77,0.1,Cash,Returned,1775.36,2025-01
259,474,169,7,2,2024-04-21,3.0,446.78,0.1,Credit Card,Completed,1206.31,2024-04
260,35,61,1,41,2024-07-19,4.0,172.42,0.05,Debit Card,Shipped,655.2,2024-07
261,1680,300,8,39,2025-05-19,1.0,306.79,0.0,Debit Card,Pending,306.79,2025-05
262,658,57,9,38,2023-10-08,5.0,207.9,0.2,Gift Card,Completed,831.6,2023-10
263,675,51,15,18,2023-10-02,2.0,190.91,0.1,PayPal,Cancelled,343.64,2023-10
264,202,175,8,39,2025-01-11,3.0,86.78,0.0,Credit Card,Returned,260.34,2025-01
265,946,83,13,49,2024-04-10,6.0,347.94,0.05,Debit Card,Completed,1983.26,2024-04
266,892,190,5,23,2024-07-27,4.0,292.3,0.2,Gift Card,Pending,935.36,2024-07
267,734,34,3,20,2025-06-23,1.0,71.12,0.0,Debit Card,Pending,71.12,2025-06
268,251,186,1,50,2025-02-25,3.0,39.01,0.2,PayPal,Pending,93.62,2025-02
269,986,32,11,7,2024-03-19,1.0,162.12,0.05,Cash,Cancelled,154.01,2024-03
270,33,96,4,35,2025-06-24,3.0,595.96,0.2,Cash,Completed,1430.3,2025-06
271,1446,236,9,38,2024-01-06,4.0,209.86,0.0,PayPal,Completed,839.44,2024-01
272,532,202,3,31,2025-12-17,2.0,211.09,0.05,PayPal,Completed,401.07,2025-12
273,94,230,9,38,2025-05-03,4.0,49.56,0.0,Credit Card,Completed,198.24,2025-05
274,1828,194,8,39,2024-02-28,2.0,35.78,0.05,Debit Card,Completed,67.98,2024-02
275,1489,281,6,9,2025-04-01,4.0,125.56,0.05,Cash,Completed,477.13,2025-04
276,447,271,10,6,2025-06-02,6.0,316.69,0.1,PayPal,Pending,1710.13,2025-06
277,1835,16,1,50,2024-06-23,5.0,561.32,0.1,PayPal,Returned,2525.94,2024-06
278,362,30,11,7,2024-11-16,2.0,544.88,0.0,Cash,Completed,1089.76,2024-11
279,1408,269,13,13,2023-10-24,4.0,260.22,0.0,Credit Card,Returned,1040.88,2023-10
280,1221,231,15,16,2025-05-28,3.0,52.2,0.2,Cash,Completed,125.28,2025-05
281,1344,165,4,35,2025-04-22,4.0,216.64,0.0,PayPal,Pending,866.56,2025-04
282,1024,174,10,29,2024-12-06,4.0,62.11,0.2,PayPal,Completed,198.75,2024-12
283,495,270,12,10,2024-06-15,2.0,17.58,0.2,Gift Card,Completed,28.13,2024-06
284,1536,67,4,34,2025-07-21,6.0,138.29,0.0,Credit Card,Completed,829.74,2025-07
285,360,76,12,10,2025-09-14,1.0,46.89,0.0,Gift Card,Completed,46.89,2025-09
286,1334,251,14,47,2025-05-22,5.0,355.21,0.0,Credit Card,Pending,1776.05,2025-05
